instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/d1655_10.gt,1654,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,65597.0,1,1,0.0034,1,1,1,1654,1.0,,0,0,0,0,,,,,
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,24130075.0,2865,6,0.0526,4740,27,8,337471,18.2308,,1,0,242574,0,,,,,
Instances/Instances 1/d18512_02.gt,18511,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,12188367.0,1995,3,0.0427,2347,20,5,260595,14.0778,,0,0,214216,0,,,,,
Instances/Instances 1/d18512_03.gt,18511,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,5222711.0,960,2,0.0315,947,13,3,179509,9.69742,,0,0,118105,0,,,,,
Instances/Instances 1/d18512_04.gt,18511,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2876916.0,483,1,0.0258,472,9,2,132214,7.14246,,0,0,57156,0,,,,,
Instances/Instances 1/d18512_05.gt,18511,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1743333.0,242,1,0.022,237,7,1,95826,5.17671,,0,0,27830,0,,,,,
Instances/Instances 1/d18512_06.gt,18511,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1070282.0,99,1,0.0182,95,4,1,60633,3.27551,,0,0,6020,0,,,,,
Instances/Instances 1/d18512_07.gt,18511,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,848838.0,51,1,0.0162,47,3,1,42567,2.29955,,0,0,6781,0,,,,,
Instances/Instances 1/d18512_08.gt,18511,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,741916.0,26,1,0.0158,24,2,1,36245,1.95802,,0,0,31,0,,,,,
Instances/Instances 1/d18512_09.gt,18511,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,677542.0,11,1,0.0138,10,1,1,18511,1.0,,0,0,0,0,,,,,
Instances/Instances 1/d18512_10.gt,18511,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,672457.0,9,1,0.0147,5,1,1,18511,1.0,,0,0,41318,0,,,,,
Instances/Instances 1/d198_01.gt,197,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,87758.0,48,2,0.0029,53,22,3,2764,14.0305,,0,0,209,0,,,,,
Instances/Instances 1/d198_02.gt,197,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,50344.0,28,1,0.0026,26,14,3,1826,9.26904,,0,0,139,0,,,,,
