instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,gap_vs_first
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_CONT_FIX,986552.0,15,1,0.051,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_LAYERED,986552.0,15,1,0.0061,12,1,1,9151,1.0,,,,,,0.0
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,986552.0,15,1,0.0065,12,1,1,9151,1.0,,0,0,17616,0,0.0
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP,970633.0,13,1,0.0502,,,,,,,,,,,
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_CONT,970633.0,13,1,0.2267,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_CONT_FIX,970633.0,13,1,0.0637,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_LAYERED,970633.0,13,1,0.0061,5,1,1,9151,1.0,,,,,,0.0
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,970633.0,13,1,0.0064,5,1,1,9151,1.0,,0,0,31982,0,0.0
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP,970633.0,13,1,0.0528,,,,,,,,,,,
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_CONT,970633.0,13,1,0.2211,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_CONT_FIX,970633.0,13,1,0.0611,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_LAYERED,970633.0,13,1,0.0059,3,1,1,9151,1.0,,,,,,0.0
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,970633.0,13,1,0.0063,3,1,1,9151,1.0,,0,0,31982,0,0.0
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP,14644.0,14,1,0.0017,,,,,,,,,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_CONT,14644.0,14,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_CONT_FIX,14644.0,14,1,0.0018,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED,14644.0,14,1,0.0018,12,11,1,343,6.72549,,,,,,0.0
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,14644.0,14,1,0.0018,12,11,1,343,6.72549,,0,0,0,0,0.0
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP,11269.0,8,1,0.0016,,,,,,,,,,,
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_CONT,11269.0,8,1,0.0018,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_CONT_FIX,11269.0,8,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_LAYERED,11269.0,8,1,0.0017,7,7,1,204,4.0,,,,,,0.0
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,11269.0,8,1,0.0017,7,7,1,204,4.0,,0,0,0,0,0.0
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP,8619.0,4,1,0.0015,,,,,,,,,,,
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_CONT,8619.0,4,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_CONT_FIX,8619.0,4,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_LAYERED,8619.0,4,1,0.0017,3,3,1,95,1.86275,,,,,,0.0
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,8619.0,4,1,0.0017,3,3,1,95,1.86275,,0,0,0,0,0.0
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP,7852.0,2,1,0.0017,,,,,,,,,,,
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_CONT,7852.0,2,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_CONT_FIX,7852.0,2,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_LAYERED,7852.0,2,1,0.0017,2,2,1,67,1.31373,,,,,,0.0
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7852.0,2,1,0.0017,2,2,1,67,1.31373,,0,0,0,0,0.0
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP,7803.0,1,1,0.0017,,,,,,,,,,,
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_CONT,7803.0,1,1,0.0015,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_CONT_FIX,7803.0,1,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_LAYERED,7803.0,1,1,0.0015,1,1,1,51,1.0,,,,,,0.0
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0015,1,1,1,51,1.0,,0,0,0,0,0.0
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP,7803.0,1,1,0.0015,,,,,,,,,,,
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_CONT,7803.0,1,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_CONT_FIX,7803.0,1,1,0.0019,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_LAYERED,7803.0,1,1,0.0018,1,1,1,51,1.0,,,,,,0.0
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0015,1,1,1,51,1.0,,0,0,0,0,0.0
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP,7803.0,1,1,0.0016,,,,,,,,,,,
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_CONT,7803.0,1,1,0.0015,,,,,,0,,0,,,0.0
