instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/d18512_06.gt,18511,100.0,86400.0,PTVRP,24093922.0,2834,7,0.0358,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_07.gt,18511,100.0,86400.0,PTVRP,23909625.0,2781,7,0.034,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_08.gt,18511,100.0,86400.0,PTVRP,24112175.0,2865,6,0.0332,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_09.gt,18511,100.0,86400.0,PTVRP,24267469.0,2864,6,0.0334,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_10.gt,18511,100.0,86400.0,PTVRP,24252644.0,2834,6,0.0382,,,,,,,,,,,,,,,
Instances/Instances 1/d198_01.gt,197,100.0,86400.0,PTVRP,87758.0,48,2,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/d198_02.gt,197,100.0,86400.0,PTVRP,92888.0,49,3,0.0053,,,,,,,,,,,,,,,
Instances/Instances 1/d198_03.gt,197,100.0,86400.0,PTVRP,91745.0,51,2,0.0049,,,,,,,,,,,,,,,
Instances/Instances 1/d198_04.gt,197,100.0,86400.0,PTVRP,90414.0,49,2,0.0053,,,,,,,,,,,,,,,
Instances/Instances 1/d198_05.gt,197,100.0,86400.0,PTVRP,92596.0,51,3,0.0051,,,,,,,,,,,,,,,
Instances/Instances 1/d198_06.gt,197,100.0,86400.0,PTVRP,87760.0,49,2,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/d198_07.gt,197,100.0,86400.0,PTVRP,88168.0,45,3,0.0069,,,,,,,,,,,,,,,
Instances/Instances 1/d198_08.gt,197,100.0,86400.0,PTVRP,91763.0,48,3,0.0049,,,,,,,,,,,,,,,
Instances/Instances 1/d198_09.gt,197,100.0,86400.0,PTVRP,89474.0,48,4,0.0049,,,,,,,,,,,,,,,
Instances/Instances 1/d198_10.gt,197,100.0,86400.0,PTVRP,92588.0,50,2,0.0064,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_01.gt,2102,100.0,86400.0,PTVRP,1406040.0,385,4,0.008,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_02.gt,2102,100.0,86400.0,PTVRP,1386768.0,409,4,0.009,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_03.gt,2102,100.0,86400.0,PTVRP,1414941.0,401,4,0.0086,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_04.gt,2102,100.0,86400.0,PTVRP,1380591.0,392,4,0.0088,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_05.gt,2102,100.0,86400.0,PTVRP,1383278.0,391,4,0.0091,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_06.gt,2102,100.0,86400.0,PTVRP,1380479.0,419,4,0.0079,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_07.gt,2102,100.0,86400.0,PTVRP,1400531.0,394,4,0.0098,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_08.gt,2102,100.0,86400.0,PTVRP,1404670.0,403,5,0.0081,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_09.gt,2102,100.0,86400.0,PTVRP,1377844.0,373,4,0.0096,,,,,,,,,,,,,,,
Instances/Instances 1/d2103_10.gt,2102,100.0,86400.0,PTVRP,1392606.0,397,4,0.0084,,,,,,,,,,,,,,,
Instances/Instances 1/d493_01.gt,492,100.0,86400.0,PTVRP,218874.0,121,3,0.0053,,,,,,,,,,,,,,,
Instances/Instances 1/d493_02.gt,492,100.0,86400.0,PTVRP,208744.0,106,3,0.0055,,,,,,,,,,,,,,,
Instances/Instances 1/d493_03.gt,492,100.0,86400.0,PTVRP,219972.0,117,3,0.0067,,,,,,,,,,,,,,,
Instances/Instances 1/d493_04.gt,492,100.0,86400.0,PTVRP,215511.0,122,3,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/d493_05.gt,492,100.0,86400.0,PTVRP,218509.0,124,2,0.0051,,,,,,,,,,,,,,,
Instances/Instances 1/d493_06.gt,492,100.0,86400.0,PTVRP,221693.0,125,2,0.0067,,,,,,,,,,,,,,,
Instances/Instances 1/d493_07.gt,492,100.0,86400.0,PTVRP,228900.0,123,3,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/d493_08.gt,492,100.0,86400.0,PTVRP,206707.0,118,2,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/d493_09.gt,492,100.0,86400.0,PTVRP,220231.0,118,3,0.0055,,,,,,,,,,,,,,,
Instances/Instances 1/d493_10.gt,492,100.0,86400.0,PTVRP,214301.0,120,3,0.0049,,,,,,,,,,,,,,,
Instances/Instances 1/d657_01.gt,656,100.0,86400.0,PTVRP,374201.0,152,2,0.0057,,,,,,,,,,,,,,,
Instances/Instances 1/d657_02.gt,656,100.0,86400.0,PTVRP,383863.0,150,3,0.0059,,,,,,,,,,,,,,,
Instances/Instances 1/d657_03.gt,656,100.0,86400.0,PTVRP,386558.0,157,2,0.0055,,,,,,,,,,,,,,,
Instances/Instances 1/d657_04.gt,656,100.0,86400.0,PTVRP,393602.0,150,3,0.0054,,,,,,,,,,,,,,,
Instances/Instances 1/d657_05.gt,656,100.0,86400.0,PTVRP,401000.0,160,3,0.0078,,,,,,,,,,,,,,,
Instances/Instances 1/d657_06.gt,656,100.0,86400.0,PTVRP,375869.0,148,3,0.0059,,,,,,,,,,,,,,,
Instances/Instances 1/d657_07.gt,656,100.0,86400.0,PTVRP,385403.0,148,3,0.0062,,,,,,,,,,,,,,,
Instances/Instances 1/d657_08.gt,656,100.0,86400.0,PTVRP,397639.0,147,3,0.006,,,,,,,,,,,,,,,
Instances/Instances 1/d657_09.gt,656,100.0,86400.0,PTVRP,389290.0,154,3,0.0055,,,,,,,,,,,,,,,
Instances/Instances 1/d657_10.gt,656,100.0,86400.0,PTVRP,388538.0,158,2,0.0079,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_01.gt,37,100.0,86400.0,PTVRP,17501.0,12,2,0.0044,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_02.gt,37,100.0,86400.0,PTVRP,18089.0,12,2,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_03.gt,37,100.0,86400.0,PTVRP,16366.0,13,1,0.0067,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_04.gt,37,100.0,86400.0,PTVRP,15411.0,11,1,0.0044,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_05.gt,37,100.0,86400.0,PTVRP,15963.0,12,1,0.0115,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_06.gt,37,100.0,86400.0,PTVRP,15404.0,10,1,0.0074,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_07.gt,37,100.0,86400.0,PTVRP,17275.0,13,1,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_08.gt,37,100.0,86400.0,PTVRP,16017.0,11,1,0.006,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_09.gt,37,100.0,86400.0,PTVRP,14245.0,10,1,0.0243,,,,,,,,,,,,,,,
Instances/Instances 1/dj38_10.gt,37,100.0,86400.0,PTVRP,16887.0,10,2,0.0059,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_01.gt,7145,100.0,86400.0,PTVRP,5872828.0,1076,6,0.0193,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_02.gt,7145,100.0,86400.0,PTVRP,5805590.0,1083,6,0.0178,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_03.gt,7145,100.0,86400.0,PTVRP,5892326.0,1079,8,0.0183,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_04.gt,7145,100.0,86400.0,PTVRP,5804540.0,1064,6,0.0176,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_05.gt,7145,100.0,86400.0,PTVRP,5873162.0,1068,6,0.0176,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_06.gt,7145,100.0,86400.0,PTVRP,5811714.0,1064,6,0.0191,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_07.gt,7145,100.0,86400.0,PTVRP,5875846.0,1104,6,0.0178,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_08.gt,7145,100.0,86400.0,PTVRP,5882676.0,1066,6,0.0182,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_09.gt,7145,100.0,86400.0,PTVRP,5826631.0,1082,6,0.019,,,,,,,,,,,,,,,
Instances/Instances 1/eg7146_10.gt,7145,100.0,86400.0,PTVRP,5907892.0,1080,9,0.0179,,,,,,,,,,,,,,,
Instances/Instances 1/ei8246_01.gt,8245,100.0,86400.0,PTVRP,6036095.0,1384,6,0.0192,,,,,,,,,,,,,,,
Instances/Instances 1/ei8246_02.gt,8245,100.0,86400.0,PTVRP,5995436.0,1336,5,0.0224,,,,,,,,,,,,,,,
